       6.110000       0.973082       1.100068       1.776739
       6.120000       0.975381       1.103420       1.777027
       6.130000       0.975477       1.105261       1.777246
       6.140000       0.973745       1.105691       1.777531
       6.150000       0.970766       1.105017       1.778029
       6.160000       0.967277       1.103637       1.778853
       6.170000       0.964093       1.102006       1.780057
       6.180000       0.962019       1.100657       1.781618
       6.190000       0.961738       1.100153       1.783439
       6.200000       0.963688       1.100960       1.785385
       6.210000       0.967984       1.103324       1.787324
       6.220000       0.974414       1.107209       1.789163
       6.230000       0.982482       1.112281       1.790845
       6.240000       0.991430       1.117950       1.792329
       6.250000       1.000261       1.123442       1.793577
       6.260000       1.007893       1.127930       1.794559
       6.270000       1.013462       1.130731       1.795293
       6.280000       1.016649       1.131534       1.795865
       6.290000       1.017802       1.130491       1.796415
       6.300000       1.017730       1.128067       1.797106
       6.310000       1.017292       1.124764       1.798076
       6.320000       1.017031       1.120997       1.799411
       6.330000       1.017074       1.117208       1.801127
       6.340000       1.017291       1.113973       1.803171
       6.350000       1.017606       1.111879       1.805437
       6.360000       1.018229       1.111284       1.807795
       6.370000       1.019673       1.112215       1.810130
       6.380000       1.022548       1.114498       1.812369
       6.390000       1.027244       1.117967       1.814481
       6.400000       1.033672       1.122528       1.816471
