       4.920000       2.063095       2.375648       1.994556
       4.930000       2.086449       2.375650       1.993724
       4.940000       2.105102       2.369754       1.993737
       4.950000       2.118210       2.358346       1.994617
       4.960000       2.125184       2.341711       1.996296
       4.970000       2.125854       2.320033       1.998616
       4.980000       2.120579       2.293517       2.001352
       4.990000       2.110257       2.262599       2.004244
       5.000000       2.096198       2.228159       2.007036
       5.010000       2.079877       2.191608       2.009509
       5.020000       2.062614       2.154764       2.011503
       5.030000       2.045262       2.119493       2.012932
       5.040000       2.027991       2.087300       2.013785
       5.050000       2.010226       2.059047       2.014118
       5.060000       1.990757       2.034951       2.014046
       5.070000       1.967970       2.014814       2.013717
       5.080000       1.940118       1.998306       2.013286
       5.090000       1.905568       1.985134       2.012884
       5.100000       1.863006       1.975027       2.012594
       5.110000       1.811636       1.967626       2.012454
       5.120000       1.751395       1.962359       2.012463
       5.130000       1.683175       1.958409       2.012609
       5.140000       1.608931       1.954733       2.012878
       5.150000       1.531565       1.950108       2.013262
       5.160000       1.454533       1.943197       2.013757
       5.170000       1.381254       1.932642       2.014360
       5.180000       1.314530       1.917216       2.015062
       5.190000       1.256147       1.896002       2.015852
       5.200000       1.206727       1.868556       2.016723
       5.210000       1.165795       1.834980       2.017675
       5.220000       1.131997       1.795905       2.018719
       5.230000       1.103430       1.752418       2.019883
       5.240000       1.078067       1.706003       2.021201
       5.250000       1.054225       1.658498       2.022712
       5.260000       1.030982       1.612031       2.024450
       5.270000       1.008395       1.568852       2.026434
       5.280000       0.987443       1.531041       2.028665
       5.290000       0.969671       1.500155       2.031124
       5.300000       0.956652       1.476917       2.033776
       5.310000       0.949477       1.461087       2.036577
       5.320000       0.948442       1.451530       2.039474
       5.330000       0.953008       1.446461       2.042403
       5.340000       0.962009       1.443792       2.045292
       5.350000       0.973983       1.441502       2.048057
       5.360000       0.987538       1.437956       2.050614
       5.370000       1.001676       1.432148       2.052902
       5.380000       1.016011       1.423848       2.054896
       5.390000       1.030844       1.413621       2.056620
       5.400000       1.047044       1.402712       2.058148
       5.410000       1.065762       1.392775       2.059584
       5.420000       1.088083       1.385492       2.061031
       5.430000       1.114722       1.382157       2.062574
